Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X]
03:00;Antigua Guatemala vs Deportivo Malacateco;Guatemala 1;1.53 (1);75.0;15.0;10.0
jutro 01:30;Club Atletico Penarol vs Juventud de las Piedras;Uruguay 1;1.36 (1);75.0;15.0;10.0
20:45;Taunton Town vs Farnham Town;England 7;1.83 (2);15.0;75.0;10.0
jutro 01:00;Deportivo La Guaira vs Portuguesa FC;Venezuela 1;1.66 (1);70.0;5.0;25.0
10:30;Semen Padang vs Persijap;Indonesia 1;2.75 (2);60.0;35.0;5.0
jutro 00:00;Carabobo FC vs Academia Anzoategui;Venezuela 1;1.48 (1);60.0;20.0;20.0
17:00;Szachtar Donieck vs Polissya Zhytomyr;Ukraine 1;1.8 (1);55.0;15.0;30.0
23:15;Rubio Nu vs Libertad;Paraguay 1;1.72 (2);20.0;55.0;25.0
20:30;RC Deportivo vs Mirandes;Spain 2;1.5 (1);55.0;5.0;40.0
20:00;Vasas Budapeszt vs BVSC;Hungary 2;1.33 (1);50.0;20.0;30.0
14:00;Martapura vs Persib Bandung;Indonesia 1;3.0 (1);25.0;50.0;25.0
20:45;Lecce vs Fiorentina;European Championship U-21 1;2.15 (2);30.0;45.0;25.0
22:15;Banfield vs Independiente Rivadavia;Argentina 1;2.7 (2);35.0;45.0;20.0
20:00;FC Den Bosch vs Jong FC Utrecht;Netherlands 2;1.85 (1);45.0;15.0;40.0
02:00;Pride of Gall Hill vs Ellerton;Barbados 1;4.75 (1);25.0;45.0;30.0
21:00;Crystal Palace vs West Ham United;England 1;2.37 (1);25.0;45.0;30.0
20:00;Barracas Central vs Belgrano;Argentina 1;3.5 (1);30.0;45.0;25.0
18:00;Miedź Legnica vs Górnik Łęczna;Poland 2;1.6 (1);45.0;35.0;20.0
jutro 01:30;Sportivo Ameliano vs Nacional;Paraguay 1;2.55 (1);20.0;45.0;35.0
02:45;Huachipato vs Audax Italiano;Chile 1;2.2 (1);40.0;30.0;30.0
21:15;Moreirense vs Estoril;Portugal 1;2.3 (2);20.0;40.0;40.0
19:45;Sporting CP B vs Felgueiras 1932;Portugal 2;2.45 (2);35.0;40.0;25.0
20:45;Dunkerque vs Laval;France 2;3.6 (2);40.0;25.0;35.0
03:30;America de Cali vs Millonarios;Colombia 1;2.1 (1);40.0;30.0;30.0
22:00;Boston River vs Cerro Largo;Uruguay 1;3.0 (2);35.0;35.0;30.0
19:00;Lechia Gdańsk vs Piast Gliwice;Poland 1;2.1 (1);35.0;30.0;35.0
19:45;FC Porto B vs Leixoes;Portugal 2;2.5 (1);15.0;35.0;50.0
jutro 00:30;San Lorenzo vs Velez Sarsfield;Argentina 1;2.5 (2);35.0;35.0;30.0
19:00;Gaziantep BB vs Kayserispor;Turkey 1;2.15 (1);30.0;10.0;60.0
12:00;FC Olexandria vs Veres Rivne;Ukraine 1;2.5 (2);25.0;25.0;50.0
