Godzina;Mecz;Liga;Kurs [Faworyt];% Over 1.5;% Over 2.5;% BTTS;Sugestia_OU;Wynik_Gole;Over_05_Real;Over_15_Real;Over_25_Real;BTTS_Real;Status_Over_15;Status_Over_25;Status_BTTS;Zysk_Over_15;Zysk_Over_25;Zysk_BTTS
21:00;Burnley vs Manchester City;England 1;1.12 (2);93.2;76.7;51.3;Over 1.5 (93%) | Over 2.5 (77%);0:1;TAK;NIE;NIE;NIE;PRZEGRANA;PRZEGRANA;PRZEGRANA;-100.0;-100.0;-100.0
20:15;NK Istra 1961 vs Dinamo Zagrzeb;Croatia 1;1.25 (2);85.5;68.5;51.3;Over 1.5 (86%) | Over 2.5 (68%);0:2;TAK;TAK;NIE;NIE;WYGRANA;PRZEGRANA;PRZEGRANA;25.0;-100.0;-100.0
21:30;FC Barcelona vs Celta Vigo;Spain 1;1.22 (1);83.9;65.4;51.7;Over 1.5 (84%) | Over 2.5 (65%);1:0;TAK;NIE;NIE;NIE;PRZEGRANA;PRZEGRANA;PRZEGRANA;-100.0;-100.0;-100.0
19:00;PSG vs Nantes;France 1;1.18 (1);79.9;65.2;51.3;Over 1.5 (80%) | Over 2.5 (65%);3:0;TAK;TAK;TAK;NIE;WYGRANA;WYGRANA;PRZEGRANA;25.0;60.0;-100.0
20:45;Cardiff City vs Port Vale;England 3;1.2 (1);84.3;64.7;50.4;Over 1.5 (84%) | Over 2.5 (65%);1:0;TAK;NIE;NIE;NIE;PRZEGRANA;PRZEGRANA;PRZEGRANA;-100.0;-100.0;-100.0
20:45;Middlesbrough vs Sheffield Wednesday;England 2;1.18 (1);86.2;64.7;52.3;Over 1.5 (86%) | Over 2.5 (65%);1:0;TAK;NIE;NIE;NIE;PRZEGRANA;PRZEGRANA;PRZEGRANA;-100.0;-100.0;-100.0
19:30;Mamelodi Sundowns FC vs Vasco da Gama;South Africa 1;1.3 (1);81.3;60.2;50.5;Over 1.5 (81%) | Over 2.5 (60%);1:1;TAK;TAK;NIE;TAK;WYGRANA;PRZEGRANA;WYGRANA;25.0;-100.0;75.0
19:00;Schoeningen vs Oldenburg;Germany 4;1.3 (2);78.9;60.0;51.4;Over 1.5 (79%) | Over 2.5 (60%);0:3;TAK;TAK;TAK;NIE;WYGRANA;WYGRANA;PRZEGRANA;25.0;60.0;-100.0
jutro 01:20;Independiente Medellin vs Chico FC;Colombia 1;1.28 (1);79.9;57.7;51.2;Over 1.5 (80%);2:0;TAK;TAK;NIE;NIE;WYGRANA;PRZEGRANA;PRZEGRANA;25.0;-100.0;-100.0
19:00;1. FC Phoenix Luebeck vs St.Pauli II;Germany 4;1.36 (1);77.3;57.4;51.3;Over 1.5 (77%);3:0;TAK;TAK;TAK;NIE;WYGRANA;WYGRANA;PRZEGRANA;25.0;60.0;-100.0
jutro 01:00;Real Garcilaso vs FC Cajamarca;Peru 1;1.33 (1);80.5;56.5;50.5;Over 1.5 (80%);1:0;TAK;NIE;NIE;NIE;PRZEGRANA;PRZEGRANA;PRZEGRANA;-100.0;-100.0;-100.0
19:30;SC Wiedenbrueck vs Sportfreunde Siegen;Germany 4;1.8 (2);76.2;55.0;52.7;Over 1.5 (76%);-;-;-;-;-;Brak;Brak;Brak;0.0;0.0;0.0
17:30;BFC Preussen vs Hertha Zehlendorf;Germany 4;1.61 (1);72.8;53.9;51.5;Over 1.5 (73%);3:2;TAK;TAK;TAK;TAK;WYGRANA;WYGRANA;WYGRANA;25.0;60.0;75.0
16:00;CSKA Sofia II vs Hebar;Bulgaria 2;1.7 (1);72.4;52.1;51.9;Over 1.5 (72%);2:0;TAK;TAK;NIE;NIE;WYGRANA;PRZEGRANA;PRZEGRANA;25.0;-100.0;-100.0
04:00;C.S. Cartagines vs Deportiva San Carlos;Costa Rica 1;1.57 (1);74.0;50.8;51.7;Over 1.5 (74%);2:1;TAK;TAK;TAK;TAK;WYGRANA;WYGRANA;WYGRANA;25.0;60.0;75.0
20:45;Charlton Athletic vs Ipswich Town;England 2;1.75 (2);73.4;50.7;51.9;Over 1.5 (73%);1:2;TAK;TAK;TAK;TAK;WYGRANA;WYGRANA;WYGRANA;25.0;60.0;75.0
jutro 01:00;Barcelona SC vs Mushuc Runa;Ecuador 1;1.6 (1);72.4;50.3;51.4;Over 1.5 (72%);2:1;TAK;TAK;TAK;TAK;WYGRANA;WYGRANA;WYGRANA;25.0;60.0;75.0
03:00;Pumas vs FC Juarez;Mexico 1;1.83 (1);72.6;49.0;52.4;Over 1.5 (73%);4:2;TAK;TAK;TAK;TAK;WYGRANA;Nie typowano;WYGRANA;25.0;0.0;75.0
10:30;Persis Solo vs Bhayangkara Surabaya United;Indonesia 1;2.87 (2);70.8;48.0;52.0;Over 1.5 (71%);2:1;TAK;TAK;TAK;TAK;WYGRANA;Nie typowano;WYGRANA;25.0;0.0;75.0
22:30;Deportivo Cuenca vs Orense;Ecuador 1;1.9 (1);72.4;47.9;52.1;Over 1.5 (72%);1:3;TAK;TAK;TAK;TAK;WYGRANA;Nie typowano;WYGRANA;25.0;0.0;75.0
15:30;Vukovar 91 vs HNK Gorica;Croatia 1;2.3 (2);72.4;47.1;52.4;Over 1.5 (72%);1:2;TAK;TAK;TAK;TAK;WYGRANA;Nie typowano;WYGRANA;25.0;0.0;75.0
jutro 01:30;Toronto FC vs Philadelphia Union;USA 1;2.35 (1);71.5;46.9;52.4;Over 1.5 (72%);3:3;TAK;TAK;TAK;TAK;WYGRANA;Nie typowano;WYGRANA;25.0;0.0;75.0
21:00;AFC Bournemouth vs Leeds United;England 1;2.0 (1);72.0;46.9;51.4;Over 1.5 (72%);2:2;TAK;TAK;TAK;TAK;WYGRANA;Nie typowano;WYGRANA;25.0;0.0;75.0
19:00;SSV Jeddeloh vs Luebeck;Germany 4;4.5 (2);69.5;46.6;50.4;Over 1.5 (70%);3:2;TAK;TAK;TAK;TAK;WYGRANA;Nie typowano;WYGRANA;25.0;0.0;75.0
02:00;Sporting San Jose vs AD Municipal Liberia;Costa Rica 1;3.75 (2);70.8;46.1;51.7;Over 1.5 (71%);0:1;TAK;NIE;NIE;NIE;PRZEGRANA;Nie typowano;PRZEGRANA;-100.0;0.0;-100.0
17:45;NK Varaždin vs Rijeka;Croatia 1;2.9 (1);71.5;45.8;52.0;Over 1.5 (72%);1:0;TAK;NIE;NIE;NIE;PRZEGRANA;Nie typowano;PRZEGRANA;-100.0;0.0;-100.0
20:00;Telstar vs Sparta Rotterdam;Eredivisie;2.5 (1);71.2;45.7;51.9;Over 1.5 (71%);4:1;TAK;TAK;TAK;TAK;WYGRANA;Nie typowano;WYGRANA;25.0;0.0;75.0
