Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X]
17:30;Star Sport Academy vs Mighty Blackpool;Sierra Leone 1;1.45 (1);70.0;20.0;10.0
20:00;Ipswich Town U21 vs Burnley U21;England Reserve 1;1.53 (1);65.0;20.0;15.0
17:30;Erbil vs Diala;Iraq 1;1.55 (1);65.0;5.0;30.0
17:30;Bai Bureh Warriors vs Lamboi;Sierra Leone 1;1.8 (1);65.0;15.0;20.0
20:30;Castellon vs Leonesa;Spain 2;1.36 (1);65.0;15.0;20.0
23:00;Estudiantes vs Central Cordoba de Santiago;Argentina 1;7.0 (2);60.0;20.0;20.0
20:00;Stoke City U21 vs Fulham Academy;England Reserve 1;1.5 (2);10.0;60.0;30.0
20:30;Catania vs Casarano;Italy 3;1.5 (1);55.0;15.0;30.0
20:30;Salernitana vs Team Altamura;Italy 3;1.5 (1);55.0;15.0;30.0
23:00;Spanish Town Police FC vs Treasure Beach;Jamaica 1;2.05 (2);30.0;50.0;20.0
20:30;Monopoli vs Benevento;Italy 3;1.75 (2);20.0;45.0;35.0
20:00;Chico FC vs Tolima;Colombia 1;1.95 (2);15.0;45.0;40.0
17:30;Ports Authority vs Diamond Stars;Sierra Leone 1;1.72 (1);45.0;30.0;25.0
17:30;Fortune vs Hart Acedemy;Gambia 1;1.9 (1);45.0;30.0;25.0
23:00;Carabobo FC vs Academia Puerto Cabello;Venezuela 1;2.3 (1);45.0;30.0;25.0
22:30;Sportivo Trinidense vs Recoleta;Paraguay 1;2.15 (1);25.0;45.0;30.0
jutro 00:00;Metropolitanos FC vs Academia Anzoategui;Venezuela 1;1.75 (1);45.0;15.0;40.0
17:30;Wusum Stars vs Freetown City;Sierra Leone 1;2.2 (1);45.0;30.0;25.0
22:10;Santa Fe vs Independiente Medellin;Colombia 1;3.1 (2);40.0;35.0;25.0
17:30;TMT vs Samger;Gambia 1;2.9 (2);40.0;30.0;30.0
20:00;Sunderland U21 vs Arsenal Academy;England Reserve 1;2.05 (1);35.0;20.0;45.0
17:30;Team Rhino vs Medina United;Gambia 1;3.0 (2);35.0;25.0;40.0
jutro 00:20;CD Jaguares vs Rionegro Aguilas;Colombia 1;2.55 (2);30.0;25.0;45.0
17:30;Steve Biko vs Greater Tomorrow;Gambia 1;2.3 (1);30.0;30.0;40.0
jutro 00:30;Rubio Nu vs Sportivo Ameliano;Paraguay 1;2.62 (1);30.0;30.0;40.0
